ADIDU,Arr_Ville,Type,Pop2021,LogPriv2021,nblog2021_ilot,Mono_pr,ImmRecent_Pr,AutochMinor_pr,SansDiplome_pr,pr_men_bil,pr_ind_sfr,pr_log_Autor_AxesPS,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_TC,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_cultSportLoisir_2quintiles,Indice_emv
24661434,Le Plateau-Mont-Royal,Arrondissement,1085,654,654,"18,51851852","5,633802817","26,76056338","4,411764706",10,"13,3640553",0,0,100,0,"36,69724771","401,7125382","38,47706422","1127,487768","10,46788991","25,55504587","2,466360856","1,366972477","947,345621",112510,0,"8,79969419","9,984313254","-0,4133754033","0,109032254","-0,003009467898","1,2063015","0,9213638775","-0,1935493662",0,0,0,1,0,0,1
24661435,Le Plateau-Mont-Royal,Arrondissement,657,388,388,"11,53846154","6,086956522","24,56140351","4,761904762","9,3",15,"5,41",0,100,0,100,"498,4484536","47,13402062","1454,863402","14,22680412","33,69845361","4,280927835","1,945876289","1240,49798",112510,2,"8,167525773","14,4767705","-0,7447700005","0,2022442311","0,6473963148","1,861371218","1,782620539","1,168726195",0,0,1,1,0,0,2
24661436,Le Plateau-Mont-Royal,Arrondissement,621,385,385,16,"2,479338843","20,83333333","9,230769231","15,8","23,38709677","49,35",0,100,0,100,"431,4415584","39,01298701","1220,038961",10,"27,49350649","2,493506494",1,"1196,976923",112510,"2,493506494","12,46753247","15,78920603","-0,6084299525","1,344208993","0,9014585374","1,359464519","1,056823204","2,165020275",0,1,1,1,0,0,3
24661437,Le Plateau-Mont-Royal,Arrondissement,887,583,583,"5,405405405","7,90960452","18,18181818",0,"10,1","16,94915254","29,33",0,"81,30360206",0,100,"407,1509434","33,39794168","1195,118353","8,74271012","30,95883362",2,"0,217838765","1115,432714",410110,"2,699828473","13,73070326","17,37276493","-1,237483014","0,4208609601","0,6113272556","1,172344032","1,495152249","2,49431363",0,1,1,1,0,0,3
24661438,Le Plateau-Mont-Royal,Arrondissement,631,402,402,8,"5,303030303","23,48484848","3,409090909","6,8","18,11023622","20,4",0,"74,12935323",0,"89,30348259","456,7860697","36,26616915","1280,345771","11,33830846","42,06716418","2,417910448","1,196517413","1137,519898",410110,2,"13,31094527","15,0775283","-1,014537215","0,3024972028","0,3881659036","1,412353247","2,044908728","1,927942216",0,1,1,1,0,0,3
24661439,Le Plateau-Mont-Royal,Arrondissement,430,241,241,10,"6,097560976","24,3902439",0,0,"11,62790698",0,0,0,0,0,382,30,1163,10,30,3,1,"1149,860082",318120,2,13,"16,55887463","-0,9929054175","-0,6970372396","-1,294589457","1,021170998","1,593985118","1,870527422",0,0,0,1,0,0,1
24661440,Le Plateau-Mont-Royal,Arrondissement,550,327,327,"12,5","2,941176471","24,75247525","4,47761194",17,"14,54545455",0,0,0,0,"55,96330275","368,3853211","33,59633028","1138,559633","10,11926606","28,11926606",3,1,"1113,729167",318120,2,"14,44036697","15,9211646","-0,8514769632","0,6703941592","-0,7472470461","1,040758928","1,536421429","2,089254553",0,1,0,1,0,0,2
24661441,Le Plateau-Mont-Royal,Arrondissement,1061,654,654,6,"9,375","14,28571429","1,948051948","9,7","12,26415094",0,"33,18042813","48,92966361",0,"48,92966361","335,7140673","30,13455657",1051,"9,134556575","24,38990826","2,467889908","1,885321101","986,516206",318120,"0,9571865443","14,78746177","15,29557123","-1,143013789","-0,00436444486","-0,07375646626","0,8270406553","1,359495478","1,368522778",0,0,0,1,0,0,1
24661442,Le Plateau-Mont-Royal,Arrondissement,1138,776,776,"13,46153846","8,558558559","26,9058296","2,906976744","19,2","17,98245614","32,47","24,09793814",100,0,100,"357,1713918","29,30412371","1054,657216","7,815721649","26,57603093","1,434278351",0,"1168,378739",410110,"2,518041237","15,31056701","16,59928085","-0,5664143143","1,107845726","1,011521279","0,8639288203","1,283011557","2,599332425",0,1,1,1,0,0,3
24661443,Le Plateau-Mont-Royal,Arrondissement,607,340,340,"9,375","4,958677686","14,04958678",0,0,"10,74380165","71,18",100,100,0,"71,17647059","376,4058824",30,"1106,047059","6,711764706",25,1,0,"1023,005848",112510,1,14,"16,94190918","-1,264513191","-0,7723126899","1,60752241","0,9632120577","0,4098232404","1,270996579",0,0,1,1,0,0,2
24661444,Rosemont-La Petite-Patrie,Arrondissement,1428,897,897,"19,40298507","3,50877193","23,94366197","7,73480663","14,4","14,03508772",0,"75,02787068",100,0,"63,65663322","312,9620959","34,89409142","983,7881828","7,386845039","23,1148272","1,520624303","2,249721293","1135,606089",388280,"1,249721293","12,07692308","21,38184627","-0,4003283846","0,4557953514","0,9072142665","0,8144100769","1,399929813","1,13780924",0,1,1,1,0,0,3
24661445,Rosemont-La Petite-Patrie,Arrondissement,437,316,316,"5,882352941","3,846153846","26,58227848","5,882352941","20,5","14,77272727",0,"82,59493671",100,0,"82,59493671","295,6455696","27,4778481","930,7658228","7,651898734","19,82594937",1,2,"1093,258094",368970,1,"12,5221519","25,71690168","-1,032625006","0,9201318265","1,157647076","0,586086977","1,168933327","0,9849559864",0,1,1,1,0,0,3
24661446,Rosemont-La Petite-Patrie,Arrondissement,602,363,363,10,"3,738317757","20,56074766","4,166666667",0,"9,917355372",0,0,100,0,100,"322,4104683",36,"1052,980716",10,"22,07162534",2,"2,517906336","1190,52175",368970,"1,517906336",11,"28,74144614","-1,019556684","-0,8426788717","0,6161155541","0,912812185","1,591522869","1,121874543",0,0,1,1,0,0,2
24661447,Rosemont-La Petite-Patrie,Arrondissement,944,496,496,"16,21621622","3,370786517","20,67039106","5,172413793","17,9","16,46341463",0,0,"59,47580645",0,"40,52419355","335,0584677","34,16330645","1076,169355","7,784274194","19,37903226",2,"2,405241935","943,357083",368970,1,18,"28,5991223","-0,7086537998","0,8929375515","-0,3435362333","0,9245998156","1,264666706","1,776520859",0,1,0,1,0,0,2
24661448,Rosemont-La Petite-Patrie,Arrondissement,433,288,288,"11,76470588","8,43373494","26,5060241","15,25423729","12,5","13,79310345",0,0,0,0,0,349,39,1154,7,21,2,4,"412,210767",368970,1,17,"28,86821271","-0,2073885653","0,3101248544","-1,294589457","1,113766431","1,123232788","1,625983422",0,1,0,1,0,0,2
24661449,Rosemont-La Petite-Patrie,Arrondissement,472,286,286,"15,78947368","4,587155963","33,02752294","7,5","12,5","18,08510638",0,0,100,0,0,372,36,1189,7,24,2,4,"500,786689",368970,1,17,"28,86821271","-0,3602748842","0,6755592036","-0,3619225241","1,136250132","1,242991932","1,625983422",0,1,0,1,0,0,2
24661450,Rosemont-La Petite-Patrie,Arrondissement,402,233,233,"10,52631579","2,105263158","9,574468085","6,779661017","15,6","11,25",0,0,0,0,0,417,48,1387,7,28,3,4,"479,593026",135790,0,15,"15,44866871","-1,176768581","0,2976542223","-1,294589457","1,633865304","0,9626634365","0,6857033667",0,1,0,1,0,0,2
24661451,Rosemont-La Petite-Patrie,Arrondissement,379,242,242,"11,76470588","6,153846154","9,230769231","4,081632653","12,1","10,52631579",0,0,0,0,0,418,51,1417,10,31,4,5,"444,428091",135790,1,15,"18,38341864","-1,038032202","0,00565055238","-1,294589457","1,718866464","1,40665074","1,408553567",0,0,0,1,0,0,1
24661452,Rosemont-La Petite-Patrie,Arrondissement,413,243,243,"11,76470588","3,225806452","11,95652174","3,846153846","15,2","14,63414634",0,0,0,0,0,439,55,1429,11,30,4,4,"835,272541",135790,1,16,"18,46527113","-1,131034504","0,5594609258","-1,294589457","1,856310641","1,554923507","1,556427963",0,1,0,1,0,0,2
24661453,Rosemont-La Petite-Patrie,Arrondissement,787,460,460,"8,571428571","6,329113924","17,61006289","3,50877193","11,4","11,11111111",0,0,100,0,"43,04347826","398,5434783","48,13913043","1297,886957","13,03043478","23,47826087",4,4,"1069,263313",135790,"1,430434783","12,2","16,92491655","-1,045245226","0,009364433755","0,05905908346","1,52314582","1,65239078","1,324559077",0,0,0,1,0,0,1
24661454,Rosemont-La Petite-Patrie,Arrondissement,585,353,353,8,"4,347826087","13,79310345","6,41025641","19,6","13,67521368",0,0,100,0,"38,52691218","409,6147309","48,54107649","1230,419263","15,15580737","35,77053824",5,3,"1185,052061",388280,2,"8,385269122","12,16819532","-1,127082785","0,7674437755","0,01488534737","1,50392739","2,653220704","1,218578136",0,1,0,1,0,0,2
24661455,Rosemont-La Petite-Patrie,Arrondissement,377,204,204,"5,555555556","5,172413793","16,94915254","8,888888889","16,7","6,578947368",100,0,100,0,100,398,43,1156,15,33,4,2,"1119,474206",388280,2,9,"4,449270906","-1,054259826","-0,02764625288","1,194318154","1,309044102","2,28302053","1,368435992",0,0,1,1,0,0,2
24661456,Rosemont-La Petite-Patrie,Arrondissement,596,322,322,"11,11111111","2,459016393","19,67213115","7,608695652","6,1","13,44537815",0,0,100,0,100,"369,2763975","37,62111801","1030,692547","13,6552795",37,"3,655279503",2,"1146,384293",318705,2,10,"5,055753425","-0,9172936773","-0,1407605743","0,6161155541","1,037147138","2,125909298","1,512329368",0,0,1,1,0,0,2
24661457,Rosemont-La Petite-Patrie,Arrondissement,640,385,385,"7,407407407","4,615384615","12,40310078","3,260869565","15,1","11,71875",0,"2,077922078",100,0,100,"352,0857143","28,34025974","965,0831169","11,17662338","33,35064935",3,"1,350649351","1164,066489",318705,"1,979220779","12,97922078","5,339047513","-1,28295063","0,3046526172","0,6340219923","0,7625159077","1,772273493","1,937097573",0,1,1,1,0,0,3
24661458,Rosemont-La Petite-Patrie,Arrondissement,362,208,208,"23,52941176","4,109589041","16,43835616","4,651162791","30,8","15,27777778",0,"7,692307692",100,0,100,"333,2307692","23,38461538","911,9230769","9,692307692","34,07692308",3,2,"1004,759827",318705,"1,923076923","12,92307692","5,177983348","-0,431551783","1,641129315","0,6824038109","0,578898463","1,697651194","1,888148757",0,1,1,1,0,0,3
24661459,Rosemont-La Petite-Patrie,Arrondissement,331,197,197,"5,555555556",0,"13,84615385","4,255319149","19,2","10,60606061",0,0,0,0,0,352,36,1015,23,26,4,3,"976,237333",131390,1,8,"5,022165391","-1,518260049","0,4797966911","-1,294589457","0,9523500895","1,981605701","0,4704734185",0,1,0,1,0,0,2
24661460,Rosemont-La Petite-Patrie,Arrondissement,297,159,159,"15,38461538","3,125","10,76923077",0,0,"10,34482759",0,0,100,0,0,363,39,1033,22,26,3,2,"1010,88447",131390,1,8,"5,022165391","-1,129681257","-0,8062825707","-0,3619225241","1,051371342","1,694469472","0,4704734185",0,0,0,1,0,0,1
24661461,Rosemont-La Petite-Patrie,Arrondissement,568,350,350,"7,692307692","4,958677686","18,85245902","6,896551724","15,7","13,27433628",0,0,0,0,0,"412,24","39,99428571","1153,4","23,37428571","29,24571429","3,374285714",2,"1049,481538",131390,1,8,"5,022165391","-1,002491558","0,4765949332","-1,294589457","1,281261375","1,905965812","0,4704734185",0,1,0,1,0,0,2
24661462,Rosemont-La Petite-Patrie,Arrondissement,444,295,295,"10,52631579","2,150537634","21,27659574","17,24137931","8,7","23,52941176",0,0,0,0,100,434,47,1220,26,31,4,2,"1001,577836",131390,1,8,"5,022165391","-0,5772881285","0,8889697104","-0,3165513786","1,522620387","2,125614487","0,4704734185",0,1,0,1,0,0,2
24661463,Rosemont-La Petite-Patrie,Arrondissement,764,373,373,"8,823529412",8,"11,33333333","2,857142857",0,10,"42,63",0,100,0,"42,62734584","448,5067024","59,73726542","1432,97319","25,29490617","44,58981233","5,573726542","3,721179625","1209,07114",179260,"1,573726542",7,"2,210504993","-1,096010094","-0,8356422535","0,3014769185","1,974975248","3,048308388","0,7708084738",0,0,1,1,0,0,2
24661464,Rosemont-La Petite-Patrie,Arrondissement,661,398,398,10,"2,158273381","17,39130435","2,666666667","10,6","16,54135338",0,0,100,0,"34,92462312","432,6834171","53,04773869","1354,89196",17,"38,69849246",6,"2,698492462","955,736534",179260,1,7,"1,663818639","-1,205251457","0,4190521076","-0,02034641138","1,744732234","2,321828949","0,3474618584",0,1,0,1,0,0,2
24661465,Rosemont-La Petite-Patrie,Arrondissement,340,210,210,"13,33333333",5,"18,33333333","4,444444444","20,8","11,76470588",0,0,100,0,100,458,61,1528,27,43,7,3,"1364,110978",179260,2,7,"2,649043842","-0,8374196246","0,683767075","0,6161155541","2,096905077","3,308965099","1,085105527",0,1,1,1,0,0,3
